disease,symptom
cardiomegaly,"['deep vein thrombosis', 'mitral valve insufficiency', 'effusion pericardial pericardial effusion body substance']"
cardiovascular finding cardiovascular event,"['pneumothorax', 'cholecystitis', 'tachycardia sinus']"
catatonia,"['chronic kidney failure', 'psychotic disorder', 'bipolar disorder', 'obesity', 'delusion']"
catching breath,['ileus']
charleyhorse,['spasm bronchial']
chest discomfort,"['myocardial infarction', 'hypercholesterolemia', 'hyperlipidemia', 'ischemia', 'mitral valve insufficiency', 'edema pulmonary', 'stenosis aortic valve']"
chest tightness,"['coronary arteriosclerosis ,coronary heart disease', 'asthma', 'myocardial infarction', 'chronic obstructive airway disease', 'gastroesophageal reflux disease', 'chronic kidney failure', 'bronchitis', 'spasm bronchial']"
chill,"['pneumonia', 'infection', 'anemia', 'acquired immuno-deficiency syndrome HIV hiv infections', 'cellulitis', 'septicemia systemic infection sepsis (invertebrate)', 'chronic kidney failure', 'hepatitis C', 'exanthema', 'bronchitis', 'lymphatic diseases', 'bacteremia', 'hepatitis', 'colitis', 'Pneumocystis carinii pneumonia', 'candidiasis oralcandidiasis', 'malignant neoplasms', 'pyelonephritis', 'pyelonephritis', 'neutropenia', 'influenza']"
choke,['emphysema pulmonary']
cicatrisation,"['embolism pulmonary', 'tricuspid valve insufficiency']"
cicatrisation scar tissue,"['adenocarcinoma', 'paranoia']"
clammy skin,"['hypoglycemia', 'emphysema pulmonary']"
clonus,"['deep vein thrombosis', 'hemiparesis', 'pneumonia aspiration', 'hemorrhoids', 'spasm bronchial']"
clumsiness,['transient ischemic attack']
colic abdominal,"['diverticulitis', 'cholecystitis', 'pancytopenia']"
consciousness clear,"['infection urinary tract', 'confusion', 'anxiety state', 'psychotic disorder', 'encephalopathy', ""Alzheimer's disease"", 'respiratory failure']"
constipation,"['gastroesophageal reflux disease', 'carcinoma', 'adenocarcinoma', 'diverticulitis', 'diverticulosis', 'malignant tumor of colon carcinoma colon', 'emphysema pulmonary', 'cholecystitis', 'ileus']"
coordination abnormal,['emphysema pulmonary']
cough,"['pneumonia', 'failure heart congestive', 'asthma', 'infection', 'chronic obstructive airway disease', 'dementia', 'acquired immuno-deficiency syndrome HIV hiv infections', 'hepatitis C', 'bronchitis', 'paroxysmal dyspnea', 'upper respiratory infection', 'pneumonia aspiration', 'suicide attempt', ""Alzheimer's disease"", 'malignant neoplasm of lung carcinoma of lung', 'primary carcinoma of the liver cells', 'hemorrhoids', 'obesity morbid', 'endocarditis', 'pneumothorax', 'neutropenia', 'hyperbilirubinemia']"
cushingoid facies cushingoid habitus,"['malignant neoplasms primary malignant neoplasm', 'hyperglycemia', 'hyperbilirubinemia', 'pancytopenia', 'cholelithiasis biliary calculus']"
cyanosis,"['septicemia systemic infection sepsis (invertebrate)', 'hypertension pulmonary', 'hyperbilirubinemia']"
cystic lesion,"['upper respiratory infection', 'diverticulosis']"
debilitation,"['encephalopathy', 'malignant neoplasm of lung carcinoma of lung', 'influenza']"
decompensation,"['paranoia', 'manic disorder', 'delusion']"
decreased body weight,"['malignant neoplasms primary malignant neoplasm', 'acquired immuno-deficiency syndrome HIV hiv infections', 'neoplasm', 'carcinoma', 'bronchitis', 'adenocarcinoma', 'malignant neoplasm of prostate carcinoma prostate', 'lymphatic diseases', 'gastritis', 'deglutition disorder', 'Pneumocystis carinii pneumonia', 'lymphoma', 'hyperglycemia', 'candidiasis oralcandidiasis', 'tonic-clonic epilepsy tonic-clonic seizures', 'gastroenteritis', 'gastroenteritis', 'primary carcinoma of the liver cells', 'endocarditis', 'adhesion']"
decreased stool caliber,"['adenocarcinoma', 'hemorrhoids']"
decreased translucency,"['pneumonia', 'infection', 'bacteremia', 'upper respiratory infection', 'pneumonia aspiration', 'malignant neoplasms', 'malignant neoplasm of lung carcinoma of lung']"
diarrhea,"['infection', 'insufficiency renal', 'acquired immuno-deficiency syndrome HIV hiv infections', 'dehydration', 'chronic kidney failure', 'carcinoma', 'kidney failure acute', 'pancreatitis', 'malignant neoplasm of prostate carcinoma prostate', 'diverticulitis', 'bacteremia', 'pneumonia aspiration', 'diverticulosis', 'Pneumocystis carinii pneumonia', 'candidiasis oralcandidiasis', 'malignant tumor of colon carcinoma colon', 'ketoacidosis diabetic', 'melanoma', 'hemorrhoids', 'pyelonephritis', 'delirium', 'cholecystitis', 'cholelithiasis biliary calculus', 'ileus']"
difficulty,"['depression mental , depressive disorder', 'insufficiency renal', 'hypothyroidism', 'anxiety state', 'bipolar disorder', 'transient ischemic attack', 'malignant neoplasm of breast carcinoma breast', 'suicide attempt', 'parkinson disease', 'manic disorder']"
difficulty passing urine,"['infection urinary tract', 'osteomyelitis', 'lymphoma']"
disequilibrium,['gastritis']
distended abdomen,"['hepatitis C', 'cirrhosis', 'arthritis', 'osteoporosis', 'overload fluid', 'bacteremia', 'glaucoma']"
distress respiratory,"['pneumonia', 'asthma', 'infection urinary tract', 'chronic obstructive airway disease', 'septicemia systemic infection sepsis (invertebrate)', 'embolism pulmonary', 'benign prostatic hypertrophy', 'hepatitis', 'hypoglycemia', 'malignant neoplasms', 'neutropenia', 'influenza']"
disturbed family,"['bipolar disorder', 'delusion']"
dizziness,"['hypertensive disease', 'anemia', 'confusion', 'dehydration', 'hyperlipidemia', 'gastritis', 'hemorrhoids', 'migraine disorders']"
dizzy spells,['malignant tumor of colon carcinoma colon']
drool,"[""Alzheimer's disease""]"
drowsiness,"['degenerative polyarthritis', 'epilepsy', 'suicide attempt', 'tonic-clonic epilepsy tonic-clonic seizures']"
drowsiness sleepy,"['hypothyroidism', 'ischemia', 'hemiparesis', 'overload fluid', 'parkinson disease', 'encephalopathy', 'delirium']"
dullness,"['diverticulitis', 'malignant neoplasms']"
dysarthria,"['accident cerebrovascular', 'confusion', 'benign prostatic hypertrophy', 'hemiparesis', 'transient ischemic attack', 'deglutition disorder']"
dysdiadochokinesia,['deglutition disorder']
dysesthesia,['malignant neoplasm of prostate carcinoma prostate']
dyspareunia,['Pneumocystis carinii pneumonia']
dyspnea,"['failure heart congestive', 'myocardial infarction', 'hypercholesterolemia', 'chronic obstructive airway disease', 'insufficiency renal', 'embolism pulmonary', 'cardiomyopathy', 'peripheral vascular disease', 'ischemia', 'mitral valve insufficiency', 'bronchitis', 'paroxysmal dyspnea', 'edema pulmonary', 'malignant neoplasm of breast carcinoma breast', 'failure heart', 'upper respiratory infection', 'respiratory failure', 'emphysema pulmonary', 'spasm bronchial', 'obesity morbid', 'effusion pericardial pericardial effusion body substance', 'pneumothorax']"
dyspnea on exertion,"['coronary arteriosclerosis ,coronary heart disease', 'cardiomyopathy', 'mitral valve insufficiency', 'paroxysmal dyspnea', 'stenosis aortic valve', 'failure heart', 'hypertension pulmonary', 'Pneumocystis carinii pneumonia', 'emphysema pulmonary', 'hernia hiatal']"
dysuria,"['infection urinary tract', 'malignant neoplasm of prostate carcinoma prostate', 'diverticulitis', 'influenza']"
ecchymosis,"['anemia', 'dementia', 'deep vein thrombosis', 'obesity', 'thrombocytopaenia']"
egophony,"['adenocarcinoma', 'lymphatic diseases', 'upper respiratory infection', 'spasm bronchial']"
elation,['manic disorder']
emphysematous change,"['malignant neoplasms primary malignant neoplasm', 'upper respiratory infection', 'gout']"
energy increased,"['depression mental , depressive disorder', 'psychotic disorder', 'bipolar disorder', 'paranoia', 'manic disorder']"
enuresis,"['confusion', 'failure kidney', 'personality disorder', 'affect labile']"
erythema,"['infection', 'cellulitis', 'deep vein thrombosis', 'exanthema', 'malignant neoplasm of breast carcinoma breast', 'osteomyelitis', 'gout']"
estrogen use,"['malignant neoplasm of breast carcinoma breast', 'hyperglycemia']"
excruciating pain,['hernia']
exhaustion,['bipolar disorder']
extrapyramidal sign,"['bipolar disorder', 'transient ischemic attack']"
extreme exhaustion,"['failure kidney', 'pneumonia aspiration', 'personality disorder', 'influenza', 'affect labile']"
facial paresis,"['accident cerebrovascular', 'dementia', 'hemiparesis', 'transient ischemic attack', 'parkinson disease', ""Alzheimer's disease"", 'spasm bronchial', 'effusion pericardial pericardial effusion body substance', 'thrombus']"
fall,"['hypertensive disease', 'dementia', 'confusion', 'hypothyroidism', 'cirrhosis', 'osteoporosis', 'incontinence', 'parkinson disease', 'glaucoma']"
fatigability,"['neuropathy', 'hernia hiatal', 'pancytopenia']"
fatigue,"['anemia', 'cardiomyopathy', 'mitral valve insufficiency', 'lymphatic diseases', 'failure kidney', 'failure heart', 'thrombocytopaenia', 'suicide attempt', 'pancytopenia']"
fatigue tired,"['hypothyroidism', 'obesity', 'lymphoma']"
fear of falling,['incontinence']
fecaluria,['diverticulosis']
feces in rectum,['cholecystitis']
feeling hopeless,"['depression mental , depressive disorder', 'anxiety state', 'psychotic disorder', 'bipolar disorder', 'diverticulosis', 'manic disorder', 'personality disorder', 'chronic alcoholic intoxication', 'dependence', 'delusion', 'affect labile']"
feeling strange,"['hyperglycemia', 'ketoacidosis diabetic']"
feeling suicidal,"['depression mental , depressive disorder', 'anxiety state', 'acquired immuno-deficiency syndrome HIV hiv infections', 'hepatitis C', 'psychotic disorder', 'bipolar disorder', 'paranoia', 'diverticulosis', 'manic disorder', 'manic disorder', 'chronic alcoholic intoxication', 'delirium', 'adhesion']"
feels hot/feverish,['obesity morbid']
fever,"['pneumonia', 'infection', 'infection urinary tract', 'dementia', 'acquired immuno-deficiency syndrome HIV hiv infections', 'cellulitis', 'septicemia systemic infection sepsis (invertebrate)', 'dehydration', 'chronic kidney failure', 'exanthema', 'bronchitis', 'lymphatic diseases', 'diverticulitis', 'osteomyelitis', 'bacteremia', 'upper respiratory infection', 'hepatitis', 'thrombocytopaenia', 'pneumonia aspiration', 'colitis', 'suicide attempt', 'lymphoma', 'tricuspid valve insufficiency', ""Alzheimer's disease"", 'kidney disease', 'fibroid tumor', 'melanoma', 'gastroenteritis', 'spasm bronchial', 'pyelonephritis', 'pyelonephritis', 'delirium', 'influenza', 'migraine disorders', 'decubitus ulcer']"
flare,['endocarditis']
flatulence,"['cholecystitis', 'ileus', 'adhesion']"
floppy,['Pneumocystis carinii pneumonia']
flushing,"['bacteremia', 'emphysema pulmonary']"
focal seizures,['hemiparesis']
food intolerance,"['degenerative polyarthritis', 'neoplasm', 'hernia', 'neoplasm metastasis', 'malignant neoplasms']"
formication,"['anxiety state', 'malignant neoplasm of breast carcinoma breast', 'suicide attempt']"
frail,"['upper respiratory infection', ""Alzheimer's disease"", 'decubitus ulcer']"
fremitus,"['hemiparesis', 'adenocarcinoma', 'lymphatic diseases', 'spasm bronchial']"
frothy sputum,['stenosis aortic valve']
gag,['hernia']
gasping for breath,['cholecystitis']
general discomfort,"['degenerative polyarthritis', 'gastroesophageal reflux disease', 'carcinoma', 'malignant tumor of colon carcinoma colon', 'hernia hiatal']"
general unsteadiness,"['arthritis', 'respiratory failure']"
giddy mood,"['hyperlipidemia', 'delusion']"
gravida ,"['carcinoma', 'kidney disease', 'malignant neoplasms', 'melanoma', 'ileus']"
green sputum,"['pneumonia', 'sickle cell anemia', 'colitis', 'influenza']"
groggy,"[""Alzheimer's disease"", 'cholecystitis']"
guaiac positive,"['anemia', 'insufficiency renal', 'chronic kidney failure', 'cirrhosis', 'malignant neoplasm of prostate carcinoma prostate', 'gastritis', 'hemorrhoids', 'hernia hiatal']"
gurgle,"['epilepsy', 'ulcer peptic', 'pneumonia aspiration', 'ketoacidosis diabetic', 'malignant neoplasm of lung carcinoma of lung']"
hacking cough,"['bronchitis', 'Pneumocystis carinii pneumonia']"
haemoptysis,"['pneumonia', 'bronchitis', 'lymphoma', 'malignant neoplasm of lung carcinoma of lung', 'pneumothorax']"
haemorrhage,"['anemia', 'septicemia systemic infection sepsis (invertebrate)', 'kidney failure acute', 'hernia', 'gastritis', 'failure kidney', 'thrombocytopaenia', 'diverticulosis', 'encephalopathy', 'fibroid tumor', 'primary carcinoma of the liver cells', 'hemorrhoids', 'pancytopenia']"
hallucinations auditory,"['depression mental , depressive disorder', 'dementia', 'anxiety state', 'hepatitis C', 'psychotic disorder', 'bipolar disorder', 'paranoia', 'schizophrenia', 'suicide attempt', 'manic disorder', 'personality disorder', 'chronic alcoholic intoxication', 'delirium', 'delusion']"
hallucinations visual,"['depression mental , depressive disorder', 'anxiety state', 'psychotic disorder', 'bipolar disorder', 'paranoia', 'schizophrenia', 'manic disorder', 'adhesion', 'affect labile']"
has religious belief,"['anxiety state', 'bipolar disorder', 'obesity', 'emphysema pulmonary']"
headache,"['confusion', 'neoplasm', 'exanthema', 'transient ischemic attack', 'sickle cell anemia', 'Pneumocystis carinii pneumonia', 'candidiasis oralcandidiasis', 'tonic-clonic epilepsy tonic-clonic seizures', 'influenza', 'hernia hiatal']"
heartburn,"['gastroesophageal reflux disease', 'carcinoma', 'fibroid tumor', 'malignant neoplasms']"
heavy feeling,['hepatitis C']
heavy legs,"['hypertension pulmonary', 'dependence']"
heberden's node,['edema pulmonary']
hematochezia,['adenocarcinoma']
hematocrit decreased,"['embolism pulmonary', 'primary carcinoma of the liver cells', 'obesity morbid']"
hematuria,"['infection urinary tract', 'malignant neoplasms primary malignant neoplasm', 'neoplasm', 'malignant neoplasm of prostate carcinoma prostate', 'parkinson disease', 'pyelonephritis']"
heme positive,"['anemia', 'gastritis', 'diverticulosis']"
hemianopsia homonymous,"['neoplasm', 'malignant neoplasm of prostate carcinoma prostate']"
hemiplegia,"['accident cerebrovascular', 'epilepsy', 'hyperlipidemia', 'hemiparesis', 'hernia', 'ulcer peptic', 'pneumonia aspiration', 'parkinson disease', 'respiratory failure', 'spasm bronchial']"
hemodynamically stable,"['infection urinary tract', 'cirrhosis', 'kidney failure acute', 'arthritis', 'malignant neoplasm of prostate carcinoma prostate', 'upper respiratory infection', 'colitis', 'effusion pericardial pericardial effusion body substance', 'thrombus']"
hepatomegaly,"['lymphatic diseases', 'primary carcinoma of the liver cells']"
hepatosplenomegaly,"['infection', 'bronchitis', 'sickle cell anemia']"
hirsutism,"['osteoporosis', 'tonic-clonic epilepsy tonic-clonic seizures']"
hoard,['chronic alcoholic intoxication']
hoarseness,"['malignant neoplasms primary malignant neoplasm', 'carcinoma', 'deglutition disorder']"
homelessness,"['depression mental , depressive disorder', 'psychotic disorder', 'bipolar disorder', 'paranoia', 'schizophrenia', 'personality disorder', 'chronic alcoholic intoxication', 'dependence']"
homicidal thoughts,['delusion']
hot flush,"['anxiety state', 'gout']"
hunger,"['ulcer peptic', 'hemorrhoids']"
hydropneumothorax,"['lymphoma', 'neuropathy']"
hyperacusis,"['cellulitis', 'lymphatic diseases']"
hypercapnia,"['chronic obstructive airway disease', 'emphysema pulmonary', 'pneumothorax']"
hyperemesis,['malignant tumor of colon carcinoma colon']
hyperhidrosis disorder,['bipolar disorder']
hyperkalemia,"['insufficiency renal', 'chronic kidney failure', 'peripheral vascular disease', 'kidney failure acute', 'edema pulmonary', 'overload fluid', ""Alzheimer's disease"", 'kidney disease', 'respiratory failure']"
hypersomnia,"['bipolar disorder', 'manic disorder']"
hypersomnolence,['schizophrenia']
hypertonicity,['thrombus']
hyperventilation,['hernia']
hypesthesia,['cellulitis']
hypoalbuminemia,"['bacteremia', 'thrombus']"
hypocalcemia result,"['kidney failure acute', 'neutropenia']"
hypokalemia,"['overload fluid', 'Pneumocystis carinii pneumonia']"
hypokinesia,"['coronary arteriosclerosis ,coronary heart disease', 'myocardial infarction', 'insufficiency renal', 'cardiomyopathy', 'hyperlipidemia', 'mitral valve insufficiency', 'failure heart', 'gout', 'encephalopathy', 'respiratory failure', 'endocarditis', 'thrombus']"
hypometabolism,['epilepsy']
hyponatremia,"['infection urinary tract', 'anemia', 'confusion', 'hypothyroidism', 'gastroesophageal reflux disease', 'glaucoma', 'gastroenteritis', 'hemorrhoids', 'delirium', 'hernia hiatal']"
hypoproteinemia,['pancytopenia']
hypotension,"['insufficiency renal', 'hypothyroidism', 'septicemia systemic infection sepsis (invertebrate)', 'deep vein thrombosis', 'dehydration', 'kidney failure acute', 'edema pulmonary', 'overload fluid', 'failure kidney', 'failure heart', 'hypertension pulmonary', 'thrombocytopaenia', 'hypoglycemia', 'malignant neoplasms', 'endocarditis', 'effusion pericardial pericardial effusion body substance']"
"hypothermia, natural","['kidney failure acute', 'hypoglycemia', 'primary carcinoma of the liver cells', 'obesity morbid']"
hypoxemia,"['chronic obstructive airway disease', 'embolism pulmonary', 'spasm bronchial', 'obesity morbid']"
immobile,['adhesion']
impaired cognition,"['tricuspid valve insufficiency', 'delusion']"
inappropriate affect,['hepatitis B']
incoherent,['hypoglycemia']
indifferent mood,"['bacteremia', 'upper respiratory infection', 'primary carcinoma of the liver cells']"
intermenstrual heavy bleeding,['fibroid tumor']
intoxication,"['depression mental , depressive disorder', 'psychotic disorder', 'bipolar disorder', 'gastritis', 'effusion pericardial pericardial effusion body substance', 'dependence']"
irritable mood,"['depression mental , depressive disorder', 'anxiety state', 'psychotic disorder', 'bipolar disorder', 'paranoia', 'schizophrenia', 'suicide attempt', 'malignant neoplasm of lung carcinoma of lung', 'personality disorder', 'chronic alcoholic intoxication', 'delusion', 'delusion']"
jugular venous distention,"['failure heart congestive', 'cardiomyopathy', 'chronic kidney failure', 'paroxysmal dyspnea', 'edema pulmonary', 'overload fluid', 'failure heart']"
labored breathing,"['diabetes', 'peripheral vascular disease', 'bronchitis', 'upper respiratory infection', 'obesity morbid']"
lameness claudication,['hypoglycemia']
large-for-dates fetus,['adhesion']
left atrial hypertrophy,"['cardiomyopathy', 'mitral valve insufficiency', 'hypertension pulmonary', 'tachycardia sinus']"
lesion,"['malignant neoplasms primary malignant neoplasm', 'neoplasm', 'carcinoma', 'cirrhosis', 'exanthema', 'adenocarcinoma', 'lymphatic diseases', 'malignant neoplasm of breast carcinoma breast', 'deglutition disorder', 'lymphoma', 'glaucoma', 'malignant tumor of colon carcinoma colon', 'malignant neoplasms', 'respiratory failure', 'malignant neoplasm of lung carcinoma of lung', 'primary carcinoma of the liver cells', 'neutropenia']"
lethargy,"['infection urinary tract', 'dementia', 'confusion', 'septicemia systemic infection sepsis (invertebrate)', 'dehydration', 'epilepsy', 'dependence']"
lightheadedness,"['confusion', 'dehydration', 'osteoporosis', 'transient ischemic attack', 'diverticulosis']"
lip smacking,"['tonic-clonic epilepsy tonic-clonic seizures', 'influenza']"
loose associations,"['bipolar disorder', 'paranoia', 'delusion']"
low back pain,['spasm bronchial']
lung nodule,"['carcinoma', 'neoplasm metastasis', 'malignant neoplasm of lung carcinoma of lung', 'adhesion']"
macerated skin,['hepatitis C']
macule,['exanthema']
malaise,"['pneumonia', 'chronic kidney failure', 'influenza']"
mass in breast,"['malignant neoplasm of breast carcinoma breast', 'melanoma']"
mass of body structure,"['hypothyroidism', 'malignant neoplasms primary malignant neoplasm', 'neoplasm', 'carcinoma', 'adenocarcinoma', 'hernia', 'malignant neoplasm of prostate carcinoma prostate', 'lymphatic diseases', 'malignant neoplasm of breast carcinoma breast', 'parkinson disease', 'glaucoma', 'neoplasm metastasis', 'malignant neoplasms', 'melanoma', 'gastroenteritis', 'primary carcinoma of the liver cells', 'ileus']"
mediastinal shift,"['pneumonia aspiration', 'tricuspid valve insufficiency']"
mental status changes,"['diabetes', 'infection urinary tract', 'insufficiency renal', 'confusion', 'hypothyroidism', 'dehydration', 'chronic kidney failure', 'benign prostatic hypertrophy', 'pneumonia aspiration']"
metastatic lesion,"['neoplasm', 'carcinoma', 'neoplasm metastasis', 'malignant neoplasm of lung carcinoma of lung', 'endocarditis']"
milky,['ketoacidosis diabetic']
moan,"['hepatitis B', 'emphysema pulmonary', 'cholecystitis']"
monoclonal,"['anemia', 'diverticulitis', 'neutropenia']"
monocytosis,['thrombocytopaenia']
mood depressed,"['depression mental , depressive disorder', 'anxiety state', 'psychotic disorder', 'obesity', 'paranoia', 'hyperglycemia', 'personality disorder']"
moody,"['incontinence', 'tonic-clonic epilepsy tonic-clonic seizures']"
motor retardation,"['depression mental , depressive disorder', 'hypothyroidism', 'psychotic disorder', 'bipolar disorder', 'suicide attempt']"
murphy's sign,['cholecystitis']
muscle hypotonia hypotonic,"['acquired immuno-deficiency syndrome HIV hiv infections', 'fibroid tumor']"
muscle twitch,"['confusion', 'epilepsy', ""Alzheimer's disease"", 'tonic-clonic epilepsy tonic-clonic seizures', 'spasm bronchial', 'dependence']"
myalgia,"['Pneumocystis carinii pneumonia', 'gastroenteritis', 'emphysema pulmonary', 'pyelonephritis', 'endocarditis', 'hyperbilirubinemia', 'hernia hiatal']"
mydriasis,['bipolar disorder']
myoclonus,"['epilepsy', 'tonic-clonic epilepsy tonic-clonic seizures']"
nasal discharge present,['upper respiratory infection']
nasal flaring,['influenza']
nausea,"['hypertensive disease', 'diabetes', 'gastroesophageal reflux disease', 'dehydration', 'chronic kidney failure', 'carcinoma', 'pancreatitis', 'hernia', 'ulcer peptic', 'gastritis', 'colitis', 'diverticulosis', 'tricuspid valve insufficiency', 'malignant tumor of colon carcinoma colon', 'ketoacidosis diabetic', 'gastroenteritis', 'pyelonephritis', 'cholecystitis', 'hernia hiatal', 'migraine disorders', 'cholelithiasis biliary calculus', 'ileus']"
nausea and vomiting,"['colitis', 'neuropathy', 'personality disorder', 'hemorrhoids']"
neck stiffness,"['embolism pulmonary', 'transient ischemic attack', 'hypertension pulmonary', 'Pneumocystis carinii pneumonia']"
neologism,"['paranoia', 'chronic alcoholic intoxication', 'delusion']"
nervousness,"['anxiety state', 'ulcer peptic', 'ketoacidosis diabetic', 'personality disorder']"
night sweat,"['pneumonia', 'acquired immuno-deficiency syndrome HIV hiv infections', 'neoplasm', 'benign prostatic hypertrophy', 'bronchitis', 'lymphatic diseases', 'upper respiratory infection', 'parkinson disease', 'candidiasis oralcandidiasis', 'malignant neoplasms', 'malignant neoplasm of lung carcinoma of lung', 'emphysema pulmonary', 'endocarditis', 'neutropenia']"
nightmare,"['depression mental , depressive disorder', 'hypothyroidism', 'anxiety state', 'psychotic disorder', ""Alzheimer's disease"", 'personality disorder']"
no known drug allergies,['spasm bronchial']
no status change,['failure kidney']
noisy respiration,['upper respiratory infection']
non-productive cough,"['pneumonia', 'asthma', 'degenerative polyarthritis', 'deep vein thrombosis', 'embolism pulmonary', 'carcinoma', 'lymphatic diseases', 'upper respiratory infection', 'Pneumocystis carinii pneumonia', 'candidiasis oralcandidiasis']"
nonsmoker,"['hypercholesterolemia', 'degenerative polyarthritis']"
numbness,"['accident cerebrovascular', 'hypercholesterolemia', 'hypothyroidism', 'transient ischemic attack', 'neuropathy', 'migraine disorders']"
numbness of hand,"['degenerative polyarthritis', 'osteoporosis', 'hemorrhoids', 'hernia hiatal']"
oliguria,"['chronic kidney failure', 'kidney failure acute', 'failure kidney', 'effusion pericardial pericardial effusion body substance', 'neutropenia']"
orthopnea,"['diabetes', 'coronary arteriosclerosis ,coronary heart disease', 'failure heart congestive', 'myocardial infarction', 'insufficiency renal', 'cardiomyopathy', 'chronic kidney failure', 'benign prostatic hypertrophy', 'paroxysmal dyspnea', 'edema pulmonary', 'overload fluid', 'failure kidney', 'failure heart', 'endocarditis']"
orthostasis,"['anemia', 'benign prostatic hypertrophy', 'malignant neoplasm of prostate carcinoma prostate', 'parkinson disease', 'tachycardia sinus']"
out of breath,"['osteoporosis', 'ulcer peptic', 'obesity morbid']"
overweight,['obesity']
pain,"['hypercholesterolemia', 'infection', 'anemia', 'dementia', 'degenerative polyarthritis', 'anxiety state', 'malignant neoplasms primary malignant neoplasm', 'cellulitis', 'gastroesophageal reflux disease', 'deep vein thrombosis', 'neoplasm', 'carcinoma', 'obesity', 'exanthema', 'mitral valve insufficiency', 'arthritis', 'osteoporosis', 'adenocarcinoma', 'pancreatitis', 'hernia', 'lymphatic diseases', 'stenosis aortic valve', 'diverticulitis', 'osteomyelitis', 'gastritis', 'sickle cell anemia', 'gout', 'pneumonia aspiration', 'colitis', 'diverticulosis', 'tricuspid valve insufficiency', 'neuropathy', 'neoplasm metastasis', 'melanoma', 'hemorrhoids', 'spasm bronchial', 'pyelonephritis', 'effusion pericardial pericardial effusion body substance', 'cholecystitis', 'cholelithiasis biliary calculus', 'adhesion']"
pain abdominal,"['gastroesophageal reflux disease', 'neoplasm', 'cirrhosis', 'adenocarcinoma', 'pancreatitis', 'hernia', 'diverticulitis', 'ulcer peptic', 'gastritis', 'sickle cell anemia', 'hepatitis', 'pneumonia aspiration', 'colitis', 'hepatitis B', 'tricuspid valve insufficiency', 'neoplasm metastasis', 'malignant tumor of colon carcinoma colon', 'ketoacidosis diabetic', 'malignant neoplasms', 'gastroenteritis', 'primary carcinoma of the liver cells', 'pyelonephritis', 'cholecystitis', 'hernia hiatal', 'cholelithiasis biliary calculus', 'tachycardia sinus', 'ileus']"
pain back,"['anemia', 'sickle cell anemia']"
pain chest,"['hypertensive disease', 'diabetes', 'coronary arteriosclerosis ,coronary heart disease', 'myocardial infarction', 'hypercholesterolemia', 'anxiety state', 'cellulitis', 'gastroesophageal reflux disease', 'neoplasm', 'embolism pulmonary', 'cardiomyopathy', 'hyperlipidemia', 'obesity', 'ischemia', 'paroxysmal dyspnea', 'edema pulmonary', 'stenosis aortic valve', 'ulcer peptic', 'sickle cell anemia', 'kidney disease']"
pain foot,['osteomyelitis']
pain in lower limb,['deep vein thrombosis']
pain neck,['neoplasm metastasis']
painful swallowing,"['exanthema', 'deglutition disorder', 'candidiasis oralcandidiasis', 'emphysema pulmonary']"
pallor,"['anemia', 'bacteremia']"
palpitation,"['hypertensive disease', 'myocardial infarction', 'anxiety state', 'gastroesophageal reflux disease', 'cardiomyopathy', 'hyperlipidemia', 'mitral valve insufficiency', 'paroxysmal dyspnea', 'cholelithiasis biliary calculus']"
panic,['chronic alcoholic intoxication']
pansystolic murmur,['failure heart']
para ,"['fibroid tumor', 'hyperbilirubinemia', 'adhesion']"
paralyse,"['hemiparesis', 'spasm bronchial']"
paraparesis,"['incontinence', 'ulcer peptic', 'melanoma']"
paresis,"['hemiparesis', 'malignant neoplasm of prostate carcinoma prostate', 'primary carcinoma of the liver cells']"
paresthesia,"['carcinoma', 'malignant neoplasm of breast carcinoma breast', 'deglutition disorder', 'glaucoma']"
passed stones,['malignant neoplasm of prostate carcinoma prostate']
patient non compliance,"['chronic obstructive airway disease', 'anxiety state', 'acquired immuno-deficiency syndrome HIV hiv infections', 'cellulitis', 'cardiomyopathy', 'hepatitis C', 'psychotic disorder', 'edema pulmonary', 'schizophrenia', 'gout', 'candidiasis oralcandidiasis', 'affect labile']"
pericardial friction rub,['effusion pericardial pericardial effusion body substance']
phonophobia,['tonic-clonic epilepsy tonic-clonic seizures']
photophobia,"['exanthema', 'candidiasis oralcandidiasis', 'hernia hiatal']"
photopsia,['hyperlipidemia']
pin-point pupils,"[""Alzheimer's disease""]"
pleuritic pain,"['pneumonia', 'asthma', 'acquired immuno-deficiency syndrome HIV hiv infections', 'embolism pulmonary', 'chronic kidney failure', 'malignant neoplasm of prostate carcinoma prostate', 'bacteremia', 'upper respiratory infection', 'endocarditis', 'influenza']"
pneumatouria,['diverticulosis']
polydypsia,"['diabetes', 'degenerative polyarthritis', 'lymphoma', 'malignant tumor of colon carcinoma colon']"
polymyalgia,"['malignant neoplasm of prostate carcinoma prostate', 'ulcer peptic', 'upper respiratory infection']"
polyuria,"['diabetes', 'hypothyroidism', 'hypoglycemia', 'ketoacidosis diabetic']"
poor dentition,"['Pneumocystis carinii pneumonia', 'candidiasis oralcandidiasis']"
poor feeding,['hepatitis B']
posterior rhinorrhea,['thrombocytopaenia']
posturing,"['hernia', 'encephalopathy']"
presence of q wave,"['myocardial infarction', 'gastroesophageal reflux disease', 'hyperlipidemia']"
pressure chest,"['hypertensive disease', 'coronary arteriosclerosis ,coronary heart disease', 'myocardial infarction', 'hypercholesterolemia', 'ischemia', 'tachycardia sinus']"
