disease_name,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Diabetes and kidney disease,Fatigue most of time,General ill feeling,Headache,Irregular heartbeat,Nausea and vomiting,Poor appetite,Swelling of legs,Shortness of breath,Itchy skin,Easily develop infections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes and nerve damage,Not notice when you step on something sharp,Not know that you haveblister or small cut,Not notice when your feet or hands touch something that is too hot or cold,Have feet that are very dry and cracked,When nerves that control digestion are affected you may have trouble digesting food,This can make your diabetes harder to control,Damage to nerves that control digestion almost always occurs in people with severe nerve damage inir feet and legs,Feeling full after eating onlysmall amount of food,Heartburn and bloating,Nausea constipation or diarrhea,Swallowing problems,Throwing up undigested foodfew hours aftermeal,When nerves in your heart and blood vessels are damaged you may,Feel lightheaded when you stand up orthostatic hypotension,Havefast heart rate,Not notice angina chest pain that warns of heart disease and heart attack,Sexual problems which cause trouble gettingerection in men and vaginal dryness or orgasm problems in women,Not being able to tell when your blood sugar gets too low,Bladder problems which cause urine leakage or not being able to empty bladder,Sweating too much even when temperature is cool when youre at rest or at other unusual times,Feet that are very sweaty early nerve damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes insipidus,Excessive thirst that may be intense or uncontrollable usually with need to drink large amounts of water or craving for ice water,Excessive urine volume,Excessive urination often needing to urinate every hour throughout day and night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes insipidus - central,Increased urine production,Excessive thirst,Confusion and changes in alertness due to dehydration and higher than normal sodium level in body if person is unable to drink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetic hyperglycemic hyperosmolar syndrome,Increased thirst and urination at beginning of syndrome,Feeling weak,Nausea,Weight loss,Dry mouth dry tongue,Fever,Seizures,Confusion,Coma,Loss of feeling or function of muscles,Problems with movement,Speech impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetic ketoacidosis,Decreased alertness,Deep rapid breathing,Dry skin and mouth,Flushed face,Frequent urination or thirst that lasts forday or more,Fruitysmelling breath,Headache,Muscle stiffness or aches,Nausea and vomiting,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diaper rash,Bright red rash that gets bigger,Veryred and scaly areas on scrotum and penis in boys,Red or scaly areas on labia and vagina in girls,Pimples blisters ulcers large bumps or sores filled with pus,Smaller red patches called satellite lesions that grow and blend in with other patches,Older infants may scratch when diaper is removed,Diaper rashes usually donot spread beyond edge of diaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diaphragmatic hernia,Bluish colored skin due to lack of oxygen,Rapid breathing tachypnea,Fast heart rate tachycardia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diastasis recti,A diastasis recti looks likeridge which runs down middle of belly area,It stretches from bottom of breastbone to belly button,It increases with muscle straining,In infants condition is most easily seen when baby tries to sit up,When infant is relaxed you can often feel edges of rectus muscles,Diastasis recti is commonly seen in women who have multiple pregnancies,This is because muscles have been stretched many times,Extra skin and soft tissue in front of abdominal wall may be only signs of this condition in early pregnancy,In later part of pregnancy top of pregnant uterus can be seen bulging out of abdominal wall,An outline of parts of unborn baby may be seen in some severe cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diazepam overdose,Bluishcolored lips and fingernails,Blurred visiondouble vision,Breathing is slow labored or stopped,Confusion,Depression,Dizziness,Drowsiness lack of alertness,Excitability,Hiccups,Rapid sidetoside movement of eyes,Rash,Stomach upset,Tiredness,Tremor,Weakness uncoordinated movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diazinon poisoning,Chest tightness,Difficulty breathing,No breathing,Increased urination,Inability to control urine flow incontinence,Increased salivation,Increased tears in eyes,Small or dilated pupils that do not react to light,Low or high blood pressure,Slow or rapid heart rate,Weakness,Agitation,Anxiety,Coma,Confusion,Convulsions,Dizziness,Headache,Muscle,Twitching,Blue lips and fingernails,Sweating,Abdominal cramps,Diarrhea,Loss of appetite,Nausea and vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diclofenac sodium overdose,Diarrhea,Dizziness,Drowsiness,Headache can be severe,Movement problems,Nausea and vomiting sometimes with blood,Numbness and tingling,Ringing in ears,Stomach pain with possible bleeding in stomach and intestines,Rash,Seizures,Unsteadiness,Urination problems little to no urine output,Wheezing,In very rare cases severe breathing problems coma convulsions and blurred vision may occur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieffenbachia poisoning,Burning in mouth or throat,Damage to cornea of eye,Diarrhea,Eye pain,Hoarse voice,Nausea and vomiting,Swelling and blistering in mouth or tongue,Blistering and swelling in mouth may be severe enough to prevent normal speaking and swallowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel oil,Loss of vision,Severe pain in throat,Severe pain or burning in nose eyes ears lips or tongue,Blood in stool,Burns of throat esophagus,Severe abdominal pain,Vomiting,Vomiting blood,Collapse,Low blood pressure that develops rapidly,Breathing difficulty,Throat swelling may also cause breathing difficulty,Asphyxia,Chemical pneumonitis,Secondary bacterial or viral infection,Hemorrhagic pulmonary edema,Respiratory distress or failure,Pneumothorax,Pleural effusion,Empyema,Many of most dangerous effects of hydrocarbon such as diesel oil poisoning are due to inhaling fumes,Agitation,Coma decreased level of consciousness and lack of responsiveness,Confusion,Dizziness,Incoordination,Somnolence,Headache,Blurred vision,Weakness,Brain damage from low oxygen levels,Seizures,Burns,Irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digitalis toxicity,Confusion,Irregular pulse,Loss of appetite,Nausea vomiting diarrhea,Fast heartbeat,Vision changes unusual including blind spots blurred vision changes in how colors look or seeing spots,Decreased consciousness,Decreased urine output,Difficulty breathing when lying down,Excessive nighttime urination,Overall swelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dilantin overdose,Coma,Confusion,Fever,Involuntary jerky repeated movement of eyeballs nystagmus,Lethargy,Low blood pressure,Nausea and vomiting,Sleepiness,Slow or slurred speech,Staggering gait or walk,Swollen gums,Seizures,Tremor uncontrollable repeated shaking of arms or legs,Unsteadiness uncoordinated movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dilated cardiomyopathy,Chest pain or pressure more likely with exercise,Cough,Fatigue weakness faintness,Irregular or rapid pulse,Loss of appetite,Shortness of breath with activity or after lying down or being asleep forwhile,Swelling of feet and ankles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimenhydrinate overdose,Inability to urinate,Blurred vision,Dry mouth,Enlarged pupils,Very dry eyes,Ringing in ears,Low blood pressure,Rapid heartbeat,Agitation,Confusion,Seizures,Delirium,Depression,Drowsiness,Hallucinationsseeing or hearing things that arentre,Increased sleepiness,Nervousness,Tremor,Unsteadiness,Dry red skin,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diphenhydramine overdose,Inability to urinate,Blurred vision,Dry mouth,Enlarged pupils,Very dry eyes,Ringing in ears,Low blood pressure,Rapid heartbeat,Agitation,Confusion,Seizures,Delirium,Depression,Drowsiness,Hallucinationsseeing or hearing things that arentre,Increased sleepiness,Nervousness,Tremor,Unsteadiness,Dry red skin,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diphtheria,Fever and chills,Sore throat hoarseness,Painful swallowing,Crouplike barking cough,Drooling suggests airway blockage is about to occur,Bluish coloration of skin,Bloody watery drainage from nose,Breathing problems including difficulty breathing fast breathing highpitched breathing sound stridor,Skin sores usually seen in tropical areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirt - swallowing,Swallowing dirt may cause constipation andblockage in intestines,These can cause stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diskitis,Abdominal pain,Back pain,Difficulty getting up and standing,Increased curvature of back,Irritability,Lowgrade fever 102f,Sweating at night,Refusal to sit up stand or walk younger child,Stiffness in back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dislocation,Accompanied by numbness or tingling at joint or beyond it,Very painful especially if you try to use joint or put weight on it,Limited in movement,Swollen or bruised,Visibly out of place discolored or misshapen,Nursemaids elbow or pulled elbow ispartial dislocation that is common in toddlers,This dislocation can be easily treated indoctors office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disseminated intravascular coagulation (DIC),Bleeding from many sites in body,Blood clots,Bruising,Drop in blood pressure,Shortness of breath,Confusion memory loss or change of behavior,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disseminated tuberculosis,Abdominal pain or swelling,Chills,Cough and shortness of breath,Fatigue,Fever,General discomfort uneasiness or ill feeling malaise,Joint pain,Pale skin due to anemia pallor,Sweating,Swollen glands,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distal median nerve dysfunction,Pain in wrist or hand that may be severe and wake you up at night and that may be felt in other areas such as upper arm this is called referred pain,Sensation changes in thumb index middle and part of ring fingers such asburning feeling decreased sensation numbness and tingling,Weakness of hand that causes you to drop things or have difficulty grasping objects or buttoningshirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distal renal tubular acidosis,Confusion or decreased alertness,Fatigue,Impaired growth in children,Increased breathing rate,Kidney stones,Nephrocalcinosis too much calcium deposited in kidneys,Osteomalacia softening of bones,Muscle weakness,Bone pain,Decreased urine output,Increased heart rate or irregular heartbeat,Muscle cramps,Pain in back flank or abdomen,Skeletal abnormalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diverticulitis,Tenderness usually in left lower side of abdomen,Bloating or gas,Fever and chills,Nausea and vomiting,Not feeling hungry and not eating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diverticulosis,Pain and cramps in your stomach,Constipation sometimes diarrhea,Bloating or gas,Not feeling hungry and not eating,You may notice small amounts of blood in your stools or on toilet paper,Rarely more severe bleeding may occur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donovanosis (granuloma inguinale),About one half of infected men and women have sores in anal area,Small beefyred bumps appear on genitals or around anus,The skin gradually wears away and bumps turn into raised beefyred velvety nodules called granulation tissue,They are often painless buty bleed easily if injured,The disease slowly spreads and destroys genital tissue,Tissue damage may spread to groin,The genitals and skin aroundm lose skin color,In its early stages it may be hard to tell difference between donovanosis and chancroid,In later stages donovanosis may look like advanced genital cancers lymphogranuloma venereum and anogenital cutaneous amebiasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double aortic arch,Highpitched sound during breathing stridor,Noisy breathing,Repeated pneumonias,Wheezing,Choking,Difficulty eating and swallowing,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double inlet left ventricle ,Bluish color to skin and lips cyanosis due to low oxygen in blood,Failure to gain weight and grow,Pale skin pallor,Poor feeding from becoming tired easily,Sweating,Swollen legs or abdomen,Trouble breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double outlet right ventricle ,Enlarged heart,Heart murmur,Rapid breathing,Rapid heartbeat,Poor feeding from becoming tired easily,Bluish color of skin and lips,Clubbing thickening of nail beds of toes and fingers late sign,Failure to gain weight and grow,Pale coloring,Sweating,Swollen legs or abdomen,Trouble breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Down syndrome,Decreased muscle tone at birth,Excess skin at nape of neck,Flattened nose,Separated joints between bones of skull sutures,Single crease in palm of hand,Small ears,Small mouth,Upward slanting eyes,Wide short hands with short fingers,White spots on colored part of eye,Brushfield spots,Physical development is often slower than normal,Most children with it never reach average adult height,Children may also have delayed mental and social development,Impulsive behavior,Poor judgment,Short attention span,Slow learning,As children with down syndrome grow and become aware ofir limitationsy may also feel frustration and anger,Birth defects involving heart such asatrial septal defect or ventricular septal defect,Dementia may be seen,Eye problems such as cataracts most children with his syndrome needs glasses,Early and massive vomiting which may besign ofgastrointestinal blockage such as esophageal atresia and duodenal atresia,Hearing problems probably caused by repeated ear infections,Hip problems and risk of dislocation,Longterm chronic constipation problems,Sleep apnea because mouth throat and airway are narrowed in children with this,Teeth that appear later than normal and inlocation that may cause problems with chewing,Underactive thyroid hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doxepin overdose,Slow breathing,Difficulty breathing,Hard to start urinating,Hard to empty bladder,Blurred vision,Ringing in ears,Irregular heartbeat may be fatal,Low blood pressure,Shock,Constipation,Dry mouth,Nausea and vomiting,Unpleasant taste in mouth,Agitation confusion,Drowsiness decreased alertness coma,Headache,Muscle rigidity lack of coordination,Restlessness,Seizures,Very sensitive to sunlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drain cleaner poisoning,Abdominal pain severe,Breathing difficulty due to throat swelling,Burns of mouth and throat,Chest pain,Collapse,Diarrhea,Drooling,Loss of vision if poison touched eyes,Mouth pain severe,Rapid drop in blood pressure shock,Throat pain severe,Severe burns and tissue damage,Vomiting often bloody,Burning,Severe pain,Vision loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drain opener poisoning,Severe change in acid level of blood ph balance which leads to damage in all of body organs,Burns to eyes which may result in permanent vision loss,Severe pain in throat,Severe pain or burning in nose eyes ears lips or tongue,Blood in stool,Burns and possible holes in throat esophagus,Severe abdominal pain,Vomiting,Vomiting blood,Collapse,Low blood pressure that develops rapidly,Breathing difficulty from breathing in drain opening agent,Throat swelling may also cause breathing difficulty,Burns,Holes necrosis in skin or tissues underneath,Irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drainpipe cleaners,Breathing difficulty from breathing in drainpipe cleaner,Throat swelling may also cause breathing difficulty,Severe change in acid level of blood ph balance which leads to damage in all of body organs,Loss of vision,Severe pain in throat,Severe pain or burning in nose eyes ears lips or tongue,Blood in stool,Burns and possible holes perforation in throat esophagus,Severe abdominal pain,Vomiting,Vomiting blood,Collapse,Low blood pressure that develops rapidly,Burns,Holes necrosis in skin or tissues underneath,Irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug allergies,Hives,Itching of skin or eyes common,Skin rash common,Swelling of lips tongue or face,Wheezing,Abdominal pain or cramping,Confusion,Diarrhea,Difficulty breathing with wheezing or hoarse voice,Dizziness,Fainting lightheadedness,Hives over different parts of body,Nausea vomiting,Rapid pulse,Sensation of feeling heart beat palpitations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug use first aid,Abnormal pupil size or pupils that dont change size when light is shined intom,Agitation,Seizures tremors,Delusional or paranoid behaviorhallucinations,Difficulty breathing,Drowsiness coma,Nausea and vomiting,Staggering or unsteady gait ataxia,Sweating or extremely dry hot skin blisters rash,Violent or aggressive behavior,Death,Abdominal cramping,Agitation restlessness,Cold sweat,Delusions hallucinations,Depression,Nausea vomiting diarrhea,Seizures convulsions shaking,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug-induced immune hemolytic anemia,Dark urine,Fatigue,Pale skin color,Rapid heart rate,Shortness of breath,Yellow skin and whites of eyes jaundice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug-induced liver injury,Abdominal pain,Dark urine,Diarrhea,Fatigue,Fever,Headache,Jaundice,Loss of appetite,Nausea and vomiting,Rash,White or claycolored stools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug-induced lupus erythematosus,Fever,General ill feeling malaise,Joint pain,Joint swelling,Loss of appetite,Pleuritic chest pain,Skin rash on areas exposed to sunlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug-induced pulmonary disease,Bloody sputum,Chest pain,Cough,Fever,Shortness of breath,Wheezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug-induced tremor,Episodic occurring in bursts sometimes abouthour after taking medicine,Intermittent comes and goes with activity but not always,Sporadic happens on occasion,Occur either with movement or at rest,Disappear during sleep,Get worse with voluntary movement and emotional stress,Head nodding,Shaking or quivering sound to voice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry cell battery poisoning,Decreased mental ability,Irritation or burns in mouth,Muscle cramps,Slurred speech,Swelling of lower legs ankles or feet,Weakness,Spastic walk,Spasticity,Tremor,Decreased mental ability,Difficulty sleeping,Muscle cramps,Slurred speech,Weakness in legs,Bronchitis,Headache,Pneumonia,Itching skin,Numbness of fingers or toes,Spastic walk,Severe pain in mouth,Collapse,Inability to breathe due to throat swelling shut,Severe pain in throat,Severe abdominal pain,Diarrhea,Vomiting,Drooling,Rapid drop in blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry eye syndrome,Blurred vision,Burning itching or redness in eye,Gritty or scratchy feeling in eye,Sensitivity to light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry skin,Your skin may get dry scaly itchy and red,You may also have fine cracks on skin,The problem is usually worse on arms and legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubin-Johnson syndrome,Mild jaundice which may not appear until puberty or adulthood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duchenne muscular dystrophy,Fatigue,Learning difficulties ,Intellectual disability possible but does not get worse over time,Muscle weakness,Begins in legs and pelvis but also occurs less severely in arms neck and other areas of body,Problems with motor skills running hopping jumping,Frequent falls,Trouble getting up fromlying position or climbing stairs,Shortness of breath fatigue and swelling of feet due toweakening of heart muscle,Problem breathing due toweakening of respiratory muscles,Gradual worsening of muscle weakness,Progressive difficulty walking,Ability to walk may be lost by age 12 and child will have to usewheelchair,Breathing difficulties and heart disease often start by age 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duodenal atresia,Upper abdominal swelling sometimes,Early vomiting of large amounts which may be greenish containing bile,Continued vomiting even when infant has not been fed for several hours,No urination after first few voidings,No bowel movements after first few meconium stools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dupuytren contracture,One or both hands may be affected,The ring finger is affected most often followed by little middle and index fingers,A small nodule or lump develops in tissue below skin on palm side of hand,Over time it thickens intocordlike band,Usuallyre is no pain,In rare cases tendons or joints become inflamed and painful,As time passes it becomes difficult to extend or straighten fingers,In severe cases straighteningm is impossible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dye remover poisoning,Breathing difficulty from breathing in dye remover,Throat swelling may also cause breathing difficulty,Severe change in acid level of blood ph balance which leads to damage in all of body organs,Loss of vision,Severe pain in throat,Severe pain or burning in nose eyes ears lips or tongue,Blood in stool,Burns and possible holes perforations in esophagus,Severe abdominal pain,Vomiting,Vomiting blood,Collapse,Low blood pressure that develops rapidly,Burns,Holes necrosis in skin or tissues underneath,Irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dysarthria,Sounding as thoughy are mumbling,Speaking softly or inwhisper,Speaking innasal or stuffy hoarse strained or breathy voice,A person with dysarthria may also drool and have problems chewing or swallowing,It may be hard to move lips tongue or jaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dysgraphia,Errors in grammar and punctuation,Poor handwriting,Poor spelling,Poorly organized writing,Has to say words aloud when writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E coli enteritis,Fever,Gas,Loss of appetite,Stomach cramping,Vomiting rare,E coli infection include,Bruises that happen easily,Pale skin,Red or bloody urine,Reduced amount of urine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ear barotrauma,Dizziness,Ear discomfort or pain in one or both ears,Hearing loss slight,Sensation of fullness or stuffiness in ears,Ear pain,Feeling of pressure in ears as if underwater,Moderate to severe hearing loss,Nosebleed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ear emergencies,Bleeding from ear,Bruising or redness,Clear liquid coming out of ear brain fluid,Dizziness,Earache,Loss of hearing,Nausea and vomiting,Noises in ear,Sensations ofobject in ear,Swelling,Visible object in ear,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ear infection - acute,Ear pain or earache,Fullness in ear,Feeling of general illness,Vomiting,Diarrhea,Hearing loss in affected ear,The ear infection may start shortly aftercold,Sudden drainage of yellow or green fluid from ear may mean eardrum has ruptured,All acute ear infections involve fluid behind eardrum,At home you can useelectronic ear monitor to check for this fluid,You can buy this device atdrugstore,You still need to seehealth care provider to confirmear infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ear infection - chronic,Ear pain or discomfort that is usually mild and feels like pressure in ear,Fever usually lowgrade,Fussiness in infants,Puslike drainage from ear,Hearing loss,They may occur in one or both ears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ear wax,Earache,Fullness in ear orsensation that ear is plugged,Noises in ear tinnitus,Partial hearing loss may get worse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebola virus disease,Fever greater than 1015 f,Chills,Severe headache,Sore throat,Muscle pain,Weakness,Fatigue,Rash,Abdominal stomach pain,Diarrhea,Vomiting,Bleeding from mouth and rectum,Bleeding from eyes ears and nose,Organ failure,Ebola will not develop disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebstein anomaly,Cough,Failure to grow,Fatigue,Rapid breathing,Shortness of breath,Very fast heartbeat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinococcosis,Pain in upper right part of abdomen liver cyst,Increase in size of abdomen due to swelling liver cyst,Bloody sputumlung cyst,Chest painlung cyst,Coughlung cyst,Severe allergic reaction anaphylaxis when cysts break open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECHO virus ,Croupbreathing difficulty and harsh cough,Mouth sores,Skin rashes,Sore throat,Chest pain if infection affects heart muscle or saclike covering around heart pericarditis,Severe headache mental status changes fever and chills nausea and vomiting sensitivity to light if infection affects membranes covering brain and spinal cord meningitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eclampsia,Seizures,Severe agitation,Unconsciousness,Headaches,Nausea and vomiting,Stomach pain,Swelling of hands and face,Vision problems such as loss of vision blurred vision double vision or missing areas in visual field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecthyma,The blister is similar to that seen with impetigo but infection spreads much deeper into skin,After blister goes awaycrusty ulcer appears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ectodermal dysplasias,Abnormal nails,Abnormal or missing teeth or fewer than normal number of teeth,Cleft lip,Decreased skin color pigment,Large forehead,Low nasal bridge,Thin sparse hair,Learning disabilities,Poor hearing,Poor vision with decreased tear production,Weakened immune system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
